symbol,data_days,start_date,end_date,spot_listed_at,perp_listed_at,listing_trade_start,is_listing_censored,avg_volume_usd,corr_zscore_next,return_gross,sharpe_gross,win_gross,dd_gross,return_net,sharpe_net,win_net,dd_net,n_trades,turnover_pct,total_cost
THETA,1908,2020-12-31,2026-03-22,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,True,32440514.19406172,0.0009045586830515,-1.693270684035381,-0.2993331567761341,49.947201689545935,-3.4610752874105906,-2.3592706840353816,-0.4170757841622156,49.736008447729674,-3.869138850754169,833,43.980992608236534,0.666
MIRA,178,2025-09-26,2026-03-22,2025-09-26T00:00:00+00:00,2025-09-26T00:00:00+00:00,2025-09-26T00:00:00+00:00,False,20642242.408891123,0.0984923702481143,-0.1529606590497844,-0.3085604713252767,48.78048780487805,-0.8048743916732606,-0.2093606590497846,-0.4223940542333254,48.78048780487805,-0.8312743916732608,71,43.292682926829265,0.0564
LPT,1593,2021-11-11,2026-03-22,2021-05-28T00:00:00+00:00,2021-11-11T00:00:00+00:00,2021-11-11T00:00:00+00:00,False,7150384.139960778,-0.0074970249623914,-1.943536429678196,-0.3316842003628676,49.58834705509816,-3.51698640077677,-2.480736429678197,-0.4233319607532002,49.39835338822039,-3.6728881865544354,672,42.558581380620645,0.5372
SFP,1853,2021-02-24,2026-03-22,2021-02-08T00:00:00+00:00,2021-02-24T00:00:00+00:00,2021-02-24T00:00:00+00:00,False,7474194.287512978,0.0094544029799889,-2.202937074834528,-0.3301441574752685,49.80967917346384,-3.698953716862078,-2.848137074834517,-0.4267558022766032,49.48341489940185,-3.8077537168620768,807,43.882544861337685,0.6452
CATI,549,2024-09-20,2026-03-22,2024-09-20T00:00:00+00:00,2024-09-20T00:00:00+00:00,2024-09-20T00:00:00+00:00,False,7412826.543863097,0.0189017883983311,-0.5647862883967767,-0.3202291010247204,51.96261682242991,-2.7917389875363807,-0.7603862883967725,-0.4312082882951065,51.4018691588785,-2.8685389875363785,245,45.794392523364486,0.1956
BANANAS31,361,2025-03-27,2026-03-22,2025-03-27T00:00:00+00:00,2025-03-22T00:00:00+00:00,2025-03-27T00:00:00+00:00,False,8333651.6122453725,-0.0042008239766775,-0.7394278393966048,-0.3757765031433199,52.73775216138329,-2.3536323801816055,-0.8518278393966061,-0.4328755547013246,52.44956772334294,-2.4008323801816065,141,40.63400576368876,0.1124
JASMY,1433,2022-04-20,2026-03-22,2021-11-22T00:00:00+00:00,2022-04-20T00:00:00+00:00,2022-04-20T00:00:00+00:00,False,17551527.784811765,0.0099687806329393,-1.5858067346480975,-0.3379896369573817,49.04862579281184,-3.4802989017897623,-2.0510067346480865,-0.4372485884948299,48.766737138830166,-3.630698901789755,582,41.014799154334035,0.4652
YGG,961,2023-08-05,2026-03-22,2021-09-24T00:00:00+00:00,2023-08-05T00:00:00+00:00,2023-08-05T00:00:00+00:00,False,10938567.256181194,0.0358371387712945,-1.108306975651172,-0.3432877232832438,48.7856388595565,-2.0411252812455727,-1.4335069756511762,-0.4439135665387003,48.15205913410771,-2.1619252812455736,407,42.977824709609294,0.3252
CVX,243,2025-07-23,2026-03-22,2021-12-23T00:00:00+00:00,2025-07-23T00:00:00+00:00,2025-07-23T00:00:00+00:00,False,2316775.344237506,0.0817227057856923,-0.2592081723501953,-0.35602641290729,50.65502183406113,-0.9267826048209388,-0.3252081723501957,-0.4468601294508758,50.65502183406113,-0.9435826048209388,83,36.24454148471616,0.066
AVAX,1908,2020-12-31,2026-03-22,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,True,101428292.47406918,0.0273679788953627,-2.1198327157585837,-0.349523453235761,48.7856388595565,-5.0958748081539635,-2.775432715758571,-0.4576605808994415,48.521647307286166,-5.404265801808418,820,43.294614572333685,0.6556000000000001
MINA,1140,2023-02-07,2026-03-22,2021-08-10T00:00:00+00:00,2023-02-07T00:00:00+00:00,2023-02-07T00:00:00+00:00,False,8728030.781337254,0.02983368278319,-1.1022699014957464,-0.3574162986041789,50.08880994671403,-1.9710287774427249,-1.468269901495727,-0.4762038247420838,49.822380106571934,-2.238099858722585,458,40.67495559502664,0.366
RED,382,2025-03-06,2026-03-22,2025-02-28T00:00:00+00:00,2025-03-06T00:00:00+00:00,2025-03-06T00:00:00+00:00,False,4290401.279614163,0.0877897952918322,-0.468988778318094,-0.3807992629422069,48.369565217391305,-1.8777233420453272,-0.5901887783180956,-0.4791651884394269,48.09782608695652,-1.912923342045328,152,41.30434782608695,0.1212
SPELL,1294,2022-09-06,2026-03-22,2021-12-24T00:00:00+00:00,2022-09-06T00:00:00+00:00,2022-09-06T00:00:00+00:00,False,4458820.4846823085,0.0154643852745424,-1.5021113956554306,-0.3892111709272133,47.8125,-4.4694290350468275,-1.915311395655415,-0.4962246746717288,47.421875,-4.671262141622787,517,40.390625,0.4132
MEME,871,2023-11-03,2026-03-22,2023-11-03T00:00:00+00:00,2023-11-03T00:00:00+00:00,2023-11-03T00:00:00+00:00,False,21909382.8553754,0.003491314811797,-1.38365265621596,-0.4280467976933493,48.89148191365227,-3.202701886289211,-1.6704526562159558,-0.5168319227563234,48.5414235705951,-3.385824860144595,359,41.890315052508754,0.2868
SIGN,329,2025-04-28,2026-03-22,2025-04-28T00:00:00+00:00,2025-04-28T00:00:00+00:00,2025-04-28T00:00:00+00:00,False,5087561.7210195735,0.062119401280218,-0.4170040879634383,-0.4281364565538909,50.15873015873016,-1.2342230740036124,-0.5078040879634387,-0.5211930561654506,49.84126984126984,-1.271823074003613,114,36.19047619047619,0.0907999999999999
