date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2023-10-24,33917.0,30.157,0.0008891411386620279,0.0007576177783447084,0.1736012064086987,0.27438102159463806,28086.925999999996,0.20757251968406965
2023-10-25,34487.7,32.446,0.0009407991834770078,0.0007584206634557959,0.24047145444348983,0.1736012064086987,28119.74,0.22645870836643556
2023-10-26,34154.0,32.77,0.0009594776600105406,0.0007593437652114992,0.26356164884464195,0.24047145444348983,28148.963,0.21333066514741583
2023-10-27,33893.1,31.739,0.0009364442910208864,0.0007602252458406277,0.23179846518435787,0.26356164884464195,28170.313000000002,0.20314957096855824
2023-10-28,34086.6,31.614,0.0009274612310996111,0.0007610332728567426,0.21868683562038815,0.23179846518435787,28189.820499999998,0.20918116523657893
2023-10-29,34528.6,32.826,0.0009506901525112516,0.0007620025027106325,0.2476207743798875,0.21868683562038815,28213.088499999998,0.22385041254877147
2023-10-30,34483.8,34.958,0.0010137513847081818,0.0007633791088145785,0.32797894650588044,0.2476207743798875,28233.694000000003,0.22137046608212163
2023-10-31,34651.4,38.372,0.0011073722851024778,0.0007653439849469214,0.4468948693433279,0.32797894650588044,28254.6855,0.22639482219683527
2023-11-01,35437.4,41.204,0.001162726385118547,0.0007675061041991208,0.514940895918778,0.4468948693433279,28280.470500000003,0.25306967576794737
2023-11-02,34940.1,40.251,0.0011520001373779697,0.0007696855641752013,0.49671527049160447,0.514940895918778,28303.737999999998,0.23446945417598197
2023-11-03,34700.4,39.497,0.0011382289541330935,0.0007717750570214593,0.4748195653354017,0.49671527049160447,28330.14,0.22485804870713677
2023-11-04,35069.7,42.422,0.0012096482148407314,0.0007743547389852663,0.5621370335072584,0.4748195653354017,28353.6595,0.23686679668280552
2023-11-05,35025.5,41.167,0.001175343678177328,0.0007767297618277126,0.513195111014727,0.5621370335072584,28384.811500000003,0.23395217896726206
2023-11-06,35057.4,42.181,0.0012031981835504057,0.0007792028510679972,0.5441398628114216,0.513195111014727,28418.949,0.23359241750988047
2023-11-07,35406.5,42.976,0.00121378842867835,0.0007817906443602983,0.5525747684938525,0.5441398628114216,28459.718999999997,0.24409169324546043
2023-11-08,35626.7,43.142,0.001210945723291801,0.0007841836211962886,0.5442119556698697,0.5525747684938525,28498.8165,0.25011156165028803
2023-11-09,36719.5,45.305,0.0012338130965835591,0.0007867137117410345,0.5683126888090875,0.5442119556698697,28544.534,0.286393394966616
2023-11-10,37330.4,56.679,0.0015183067955339348,0.0007908291454676846,0.9198923107924035,0.5683126888090875,28593.698500000002,0.30554639512618476
2023-11-11,37162.1,56.409,0.0015179174481528225,0.0007949712345961604,0.9093992110593958,0.9198923107924035,28638.0755,0.2976465544970017
2023-11-12,37085.5,56.315,0.0015185180191719136,0.0007991584679202261,0.900146316566961,0.9093992110593958,28681.5235,0.29301011503102337
2023-11-13,36486.2,51.662,0.0014159325991744826,0.0008027566687597027,0.7638378530846288,0.900146316566961,28716.6595,0.27055864558341103
2023-11-14,35559.0,56.849,0.0015987232486852835,0.0008074257888019971,0.9800250015018213,0.7638378530846288,28747.954500000003,0.2369227869760262
2023-11-15,37885.6,65.506,0.0017290474481069325,0.0008128255697719594,1.1272060235408463,0.9800250015018213,28791.319,0.3158688561645959
2023-11-16,36176.0,57.842,0.00159890535161433,0.0008175526055694611,0.9557216755497004,1.1272060235408463,28826.084,0.2549744876896911
2023-11-17,36621.9,58.49,0.0015971317708802656,0.0008223512890437343,0.942152693330705,0.9557216755497004,28868.9215,0.2685579542692651
2023-11-18,36580.9,58.581,0.0016014094787170354,0.0008272088763548615,0.935919118486408,0.942152693330705,28908.543499999996,0.2654010050696607
2023-11-19,37375.9,61.099,0.0016347164884323855,0.0008322022533934057,0.9643259577424004,0.935919118486408,28950.331000000002,0.29103532529558995
2023-11-20,37462.5,56.603,0.0015109242575909244,0.0008365424261311151,0.8061537710391156,0.9643259577424004,28993.5135,0.2920993518084656
2023-11-21,35737.0,51.682,0.0014461762319165012,0.0008405367429311247,0.7205389818812522,0.8061537710391156,29024.741,0.23125991029515114
2023-11-22,37413.4,57.579,0.0015389940502600673,0.0008450591771981936,0.8211671937137293,0.7205389818812522,29067.619000000002,0.2871160861163069
2023-11-23,37294.3,56.537,0.001515968928227638,0.0008492558204650123,0.7850556825122084,0.8211671937137293,29111.9935,0.2810630780059773
2023-11-24,37706.3,56.869,0.0015082095034516776,0.0008535165655316691,0.7670535808665762,0.7850556825122084,29162.226000000002,0.2929842872762869
2023-11-25,37766.6,58.83,0.0015577256094008991,0.0008580473171496803,0.8154308955541723,0.7670535808665762,29213.007999999998,0.2928007961384873
