date,BTC,ETH,SOL,btc_ma200,btc_ma200_gap,ethbtc,solbtc,ethbtc_ma180,ethbtc_gap,ethbtc_ret90,solbtc_ma180,solbtc_gap,solbtc_ret90,btc_ma200_gap_ma7,ethbtc_gap_ma7,solbtc_gap_ma7,ethbtc_ret90_ma7,solbtc_ret90_ma7
2025-03-01,86007.7,2216.6,143.58,82109.0375,0.0474815272313962,0.025772111101680432,0.001669385415491869,0.03559248350147484,-0.27591141257078855,-0.3245581090104499,0.0022427080610189503,-0.25563855389479373,-0.31505551600287607,0.0761482373363094,-0.23449063603092554,-0.26592846377238866,-0.2654892611060033,-0.33554360660628546
2025-03-02,94222.8,2517.12,178.64,82286.911,0.1450520970461513,0.02671455316547587,0.0018959317702297107,0.03550649387237328,-0.24761500638445744,-0.2974522221909398,0.002240911280917302,-0.15394608150054745,-0.19513969624042826,0.0707016353176589,-0.24289595368149028,-0.25505548979784365,-0.27910169299847476,-0.31954807895226894
2025-03-03,86192.7,2148.22,142.05,82430.3195,0.04564316288983927,0.024923456394799093,0.001648051401104734,0.035410091270826956,-0.296148202381715,-0.33906278160613923,0.0022372614479754076,-0.26336217763188763,-0.3247755299035511,0.059611582354825554,-0.25120880787993294,-0.24769018284783412,-0.2931477360373496,-0.3113260397841013
2025-03-04,87245.9,2170.51,144.7,82572.2745,0.05660042100451035,0.024878074499775926,0.001658530658747288,0.03531405412574847,-0.29551916041164417,-0.36087622592514723,0.00223367775261839,-0.25748884018605445,-0.2863819623562569,0.05539378448274764,-0.262415145380558,-0.24463535240251583,-0.3073077106760822,-0.3014890410363268
2025-03-05,90566.1,2240.45,146.16,82727.7625,0.09474857367259282,0.02473828507576234,0.0016138488904788877,0.03522240660674311,-0.29765488906069393,-0.36639705760115737,0.0022297704799398342,-0.27622645245423016,-0.3368110012718162,0.06459167689855771,-0.2725573477945651,-0.24311647640133846,-0.32264673182729114,-0.299172361126646
2025-03-06,89887.8,2201.34,143.22,82885.2515,0.08448485554755192,0.024489864030491346,0.0015933196718575823,0.035125277474017294,-0.30278517945924066,-0.38922979823749293,0.00222552164981608,-0.2840691206085296,-0.32926739264988036,0.07175476777210596,-0.28174291275126967,-0.2440807909000632,-0.3409793887508852,-0.2963540396576564
2025-03-07,86753.8,2140.72,139.31,83022.02799999999,0.044949179029931896,0.024675806708178774,0.0016058086216396285,0.035029778901772446,-0.2955762930342041,-0.38369430657567205,0.002221265692694186,-0.27707494563969337,-0.32681914958077396,0.07413711663171053,-0.28731573475753486,-0.25254373884510517,-0.35161007159242835,-0.3020357497150833
2025-03-08,86184.7,2202.84,136.92,83158.037,0.036396518114057974,0.025559525066514127,0.0015886810535976803,0.03494197349960537,-0.26851512646236797,-0.3545220131432062,0.002216934747525268,-0.283388446425362,-0.32231275238541035,0.07255354390066222,-0.28625912245633195,-0.25650800920661493,-0.3558906293256793,-0.303072497769731
2025-03-09,80688.8,2019.2,126.42,83255.88100000001,-0.030833629638727933,0.025024538721606964,0.0015667601947234311,0.034850746703999486,-0.28195114629394336,-0.3438158886847077,0.00221256590116186,-0.29188089091461833,-0.29599494635517765,0.04742701151710804,-0.29116428530054417,-0.2762129819800537,-0.36251401025336033,-0.31748039064326666
2025-03-10,78567.8,1864.51,118.26,83346.9705,-0.057340662429955946,0.023731223223763424,0.0015051967854515463,0.034755810113886856,-0.3172012637311108,-0.36818070820436455,0.002208097763928517,-0.3183287397684832,-0.31919832406168913,0.03271503647142301,-0.29417186549331503,-0.2840653479995673,-0.36667371405310684,-0.3166836469515721
2025-03-11,82896.0,1922.61,125.28,83441.351,-0.006535740295000703,0.023193037058482916,0.0015112912565141865,0.034658908559779704,-0.33082032809892004,-0.38775417443436855,0.0022034890432764374,-0.31413715846437795,-0.32766655466668604,0.023695584857207148,-0.29921488944864016,-0.29215796489647067,-0.3705134209829956,-0.322581445853062
2025-03-12,83640.7,1907.24,126.55,83538.97200000001,0.0012177310489287496,0.02280277424746565,0.0015130193793213113,0.03456153954445765,-0.3402268953287313,-0.41248180761346176,0.002199129174497252,-0.3119915842746226,-0.33323647394633693,0.010334035910969422,-0.3052966046297883,-0.297267269442241,-0.3770969566990391,-0.32207079909227915
2025-03-13,81085.4,1863.76,123.32,83623.448,-0.03035091305969595,0.022985148991063745,0.001520865655222765,0.03446533658880465,-0.33309373225358274,-0.4034083815528434,0.0021948793271953314,-0.3070846144575232,-0.3139021800779823,-0.006071073890065988,-0.3096263978861229,-0.3005551971349544,-0.37912246860123205,-0.3198757687248652
2025-03-14,83939.8,1910.79,133.49,83729.109,0.002516341120983423,0.022763814066747833,0.0015903063862434746,0.03437420207060183,-0.33776458228782147,-0.4034487323835594,0.0021913701354682623,-0.2742867302498624,-0.26661730465907163,-0.012132907877058627,-0.31565329635092537,-0.3001568806506928,-0.3819445294309302,-0.311275505164622
2025-03-15,84302.9,1936.27,135.79,83853.701,0.005356937077827917,0.022968011776581827,0.0016107393695827784,0.03428271826276808,-0.33004111282722637,-0.393899785932437,0.0021877717841467486,-0.26375347682300343,-0.24954962382425028,-0.016567133739377207,-0.32444272297447657,-0.29735188499321297,-0.3875699255436774,-0.3008807725130277
2025-03-16,82541.6,1885.97,126.05,83971.359,-0.017026745988474312,0.022848721129709138,0.0015271087548581561,0.034193944552829994,-0.3317904258045564,-0.39206011652411243,0.002184139595162529,-0.3008190693303562,-0.2506990145405532,-0.014594721789340974,-0.3315626200474213,-0.2986287676240327,-0.39446195809216394,-0.2944099251109385
2025-03-17,83962.9,1925.37,127.93,84094.5575,-0.0015655888313580446,0.022931199374962036,0.0015236491355110414,0.03410771030154292,-0.32768282677935423,-0.3748299708237235,0.002180518754472565,-0.3012446545640515,-0.27576414863918475,-0.0066268541323984175,-0.3330599861971704,-0.2961881840233996,-0.3954118527520723,-0.2882050429077236
2025-03-18,82666.1,1930.64,125.25,84212.4065,-0.018361979716135957,0.023354676221570874,0.0015151313537229891,0.03401987270083543,-0.31349901197609864,-0.35463751475125127,0.002176327164193702,-0.30381269018239565,-0.2648090397149174,-0.00831631690684631,-0.33058551246533874,-0.2947132599831164,-0.3906809013687699,-0.2792253979146138
2025-03-19,86809.8,2055.21,135.3,84351.746,0.029140523066351287,0.023674861593967502,0.001558579791682506,0.03392625248800061,-0.30216691034940935,-0.3248614351592861,0.0021720918305083874,-0.28245216441069454,-0.21604828426663591,-0.004327346618643091,-0.32514837175400707,-0.29049334285969813,-0.3781637053038876,-0.2624842279603708
