symbol,ret_m1_14_29,ret_m2_30_59,cum_m2_end_14_59,is_listing_censored
SPELL,0.1048509438457834,0.2990269783586361,0.40387792220441954,False
SPK,-0.1683396025680522,0.1989142794666756,0.030574676898623355,False
SSV,0.1555924243010386,0.2904337414515371,0.4460261657525757,False
STEEM,0.022556372183552508,-0.07239044500301699,-0.04983407281946447,False
STG,-0.373180567992131,0.052818335951402215,-0.3203622320407288,False
STO,0.11487903068871472,-0.1408307044446542,-0.025951673755939493,False
STORJ,-0.003331948674707319,-0.13572972071610181,-0.13906166939080913,True
STRK,-0.5940026288364711,-0.19653594588629597,-0.7905385747227671,False
STX,0.4500077650823935,0.3647597866134192,0.8147675516958126,False
SUI,-0.1546927685118036,0.5647207335219282,0.4100279650101246,False
SUN,-0.0799129016093699,0.1310859572173746,0.05117305560800468,False
SUPER,-0.2886696680172874,-0.04243418052665174,-0.33110384854393915,False
SUSHI,-0.7236234532456614,0.6716983165553101,-0.051925136690351266,True
SXT,-0.18984562975450997,0.3926218491099745,0.20277621935546453,False
SYN,-0.4188351476568357,0.5877016238958827,0.16886647623904696,False
SYRUP,0.014309534176070393,-0.03118783025166689,-0.016878296075596495,False
SYS,-0.2225514027808067,-0.3378704143430835,-0.5604218171238902,False
T,-0.20791644784063462,0.3738885174420874,0.16597206960145278,False
TAO,-0.14194897869795378,0.38484060947512116,0.24289163077716738,False
THE,-0.13368374482757367,0.3746138302456416,0.24093008541806787,False
THETA,-0.14986718958135634,-0.2816263386108107,-0.431493528192167,True
TIA,-0.43012222488544205,0.18523872720282156,-0.2448834976826205,False
TLM,0.1108445527288824,0.048689472213275506,0.1595340249421579,False
TNSR,-0.183107574810938,-0.7388066737464418,-0.9219142485573798,False
TON,0.17349281999951802,-0.012531268633574521,0.1609615513659435,False
TOWNS,-0.15335890514562728,-0.2785371997001063,-0.4318961048457336,False
TRB,0.2944460107767383,-0.6790560210826597,-0.3846100103059214,True
TREE,0.6258557987585224,-0.6240448574885461,0.0018109412699763294,False
TRU,-0.1330484591667063,-0.02466797480970489,-0.1577164339764112,False
TRUMP,0.09321090556498142,0.6248499410590207,0.7180608466240022,False
TRX,0.22605741766470147,-0.25656521970023854,-0.030507802035537053,True
TST,-0.185696086437231,-0.022671813173741312,-0.20836789961097235,False
TURBO,-1.0615350979425822,0.4887612658104449,-0.5727738321321372,False
TURTLE,0.501307136313323,0.0946241888269704,0.5959313251402933,False
TUT,0.45482055928871395,0.5103155233382745,0.9651360826269884,False
TWT,0.08463198466472979,0.07586281203201761,0.16049479669674743,False
UMA,0.16174262781566742,-0.015258800400604096,0.1464838274150633,False
UNI,0.47533184573111514,0.1337935493547431,0.6091253950858583,True
USTC,0.029380522239919105,-0.2616114034093389,-0.23223088116941978,False
USUAL,0.0008344530218674234,0.497445042029892,0.49827949505175934,False
VANA,-0.3012040680657683,0.5680915813466565,0.26688751328088817,False
VANRY,0.22394318812290162,0.5775445030830269,0.8014876912059284,False
VELODROME,-0.3116119772628856,0.23552623920838894,-0.07608573805449667,False
