sample_set,symbol,early,late,diff
S_all,SFP,-0.3167367178049406,-0.08041075818357019,-0.23632595962137043
S_all,SHELL,-1.0106760176119662,1.0495698147175148,-2.060245832329481
S_all,SIGN,0.49405841432206254,-1.1309597339733206,1.6250181482953832
S_all,SKL,0.3318132975510799,1.8223688868763412,-1.4905555893252613
S_all,SKY,-1.6770059444598089,-0.576502066018036,-1.1005038784417729
S_all,SLP,0.04768070011422032,1.6315358887148643,-1.583855188600644
S_all,SNX,-6.292130931374889,4.673656393636283,-10.965787325011172
S_all,SOL,1.4398950556998693,-1.6168462250725957,3.056741280772465
S_all,SOLV,0.7394168376173046,0.6275120393277476,0.11190479828955702
S_all,SOMI,-0.9005159121586095,-0.47169338137131894,-0.42882253078729055
S_all,SOPH,2.430883508463596,-2.8375941492634995,5.268477657727095
S_all,SPELL,2.022762782490525,4.331549699393319,-2.308786916902794
S_all,SPK,-1.1431995836771178,-1.4171930652928033,0.2739934816156855
S_all,SSV,3.4995123219106166,1.5143117027427169,1.9852006191678997
S_all,STEEM,1.5609822499172943,0.4849295067741183,1.0760527431431761
S_all,STG,1.4777749624020224,4.138040538586416,-2.6602655761843934
S_all,STO,-0.2552924210092934,-2.4538205579872123,2.198528136977919
S_all,STORJ,1.8123551698978253,-2.392152806625009,4.204507976522834
S_all,STRK,0.6933531839695677,0.41441030925904754,0.27894287471052015
S_all,STX,1.7330733687488546,0.3046058146766516,1.4284675540722032
S_all,SUI,5.675410768540056,0.24725985977382092,5.428150908766235
S_all,SUN,2.0053214927470866,-2.879807419458105,4.885128912205191
S_all,SUPER,-0.4128152555267311,-0.7552833190960642,0.34246806356933307
S_all,SUSHI,3.158218082953725,4.474735925518221,-1.316517842564496
S_all,SXT,1.958179831140529,3.462183061925254,-1.5040032307847249
S_all,SYN,4.769208535512658,3.047909758868682,1.7212987766439762
S_all,SYRUP,2.9319060860638335,1.1802956161616593,1.7516104699021742
S_all,SYS,-0.34265682629123617,-3.8699218966325617,3.5272650703413255
S_all,T,0.7490084869835876,4.17684677024651,-3.427838283262923
S_all,TAO,3.657616994335711,-0.3998283413203211,4.057445335656032
S_all,THE,-0.3208390984612004,0.792372713475175,-1.1132118119363754
S_all,THETA,-2.065766599183644,4.107531996042874,-6.173298595226518
S_all,TIA,1.3752665429420714,1.5291417440917643,-0.1538752011496929
S_all,TLM,-2.3602087875266546,5.532115899120422,-7.892324686647076
S_all,TNSR,-5.146086835130324,-0.495554220740619,-4.650532614389705
S_all,TON,1.0580841383735584,0.6802885680066765,0.37779557036688194
S_all,TOWNS,-1.1764358665060903,-4.777388658053773,3.600952791547683
S_all,TRB,-0.3590715074906474,-1.8572818281330583,1.4982103206424109
S_all,TREE,-0.10703725395177921,2.0075799301993227,-2.114617184151102
S_all,TRU,1.5011892994074254,-2.2578677782335532,3.7590570776409784
S_all,TRUMP,3.64606555762291,3.390550380763865,0.2555151768590451
S_all,TRX,-0.11312820899182519,3.500342054519661,-3.6134702635114864
S_all,TST,2.7318275381178583,-0.5218915874248911,3.2537191255427493
S_all,TURBO,3.0791495111894043,1.619391631273055,1.4597578799163493
S_all,TURTLE,-2.039601837221267,-2.8664867345444245,0.8268848973231573
S_all,TUT,3.149399058326622,-0.9162060406238617,4.065605098950484
S_all,TWT,-0.8387966599309485,0.7989171509354138,-1.6377138108663623
S_all,UMA,0.4019072633973473,2.8060587487067727,-2.4041514853094252
S_all,UNI,3.90325682941745,2.5678667787377276,1.3353900506797225
S_all,USTC,-5.602399717635143,1.6400237249576557,-7.242423442592799
S_all,USUAL,2.7887091384565683,-2.72115019612205,5.509859334578618
S_all,VANA,4.071524378566933,-2.2919893127873037,6.363513691354236
S_all,VANRY,-1.3054915633419917,-9.494163027318486,8.188671463976494
S_all,VELODROME,1.8642193706159764,-0.044643132100550265,1.9088625027165267
S_all,VET,-3.3647144857575784,2.1918371492207207,-5.556551634978299
S_all,VIC,-0.23660726750116656,0.8060678740643935,-1.0426751415655602
S_all,VIRTUAL,2.166827860928862,4.009291892835557,-1.8424640319066947
S_all,VTHO,-2.292140445346392,-0.144607099059398,-2.147533346286994
S_all,W,-1.0976038324562396,-2.4807895602186565,1.3831857277624169
S_all,WAL,2.668547049684286,-0.2066782783088681,2.875225327993154
S_all,WAXP,-0.009406648847222851,1.107189786104765,-1.116596434951988
S_all,WCT,0.1264303241136382,1.0575035889447,-0.9310732648310618
S_all,WIF,3.7873867578172833,-0.5257001142368645,4.313086872054148
S_all,WLD,2.5075469831825385,0.606372096091828,1.9011748870907106
S_all,WLFI,0.5876932720913537,-1.7390015504257752,2.326694822517129
S_all,WOO,-0.119822931674334,-0.8965213472754192,0.7766984156010852
S_all,XAI,1.384540651134349,0.4721036672218235,0.9124369839125255
S_all,XLM,0.2276480549530265,-0.21995224333887387,0.4476002982919004
S_all,XMR,0.6437659487176011,1.1609903064335914,-0.5172243577159903
S_all,XPL,1.1273086011552036,-0.14848597623982296,1.2757945773950266
S_all,XRP,0.21029271860530896,4.411824081295059,-4.2015313626897495
S_all,XTZ,0.7869856301797056,-0.679272745704955,1.4662583758846606
