mode,idio_th,close_loc_th,volz_th,risk_n,risk_rate,total_bps,maxdd_bps,worst_day_bps,mean_active_day_bps,win_rate_active_day,score_total_dd
skip,7.5,0.7,1.5,524,0.242368177613321,60980.06809770541,-16741.674616172975,-6543.174522744356,56.4107937999125,0.4727104532839963,56794.649443662165
half,7.5,0.7,1.5,524,0.242368177613321,84310.82503568917,-17601.7688133007,-6604.173298842746,77.993362660212,0.545790934320074,79910.38283236399
skip,7.5,0.7,2.0,472,0.2183163737280296,63616.72276401776,-19068.23615845798,-6543.174522744356,58.84988229788877,0.4884366327474561,58849.66372440326
half,7.5,0.7,2.0,472,0.2183163737280296,85629.15236884533,-17984.509042371836,-6930.833698596435,79.21290690920011,0.547641073080481,81133.02510825238
skip,7.5,0.7,2.5,435,0.20120259019426456,63141.237125807405,-19732.652683262244,-6543.174522744356,58.41002509325384,0.4921369102682701,58208.07395499184
half,7.5,0.7,2.5,435,0.20120259019426456,85391.40954974014,-18139.858071373397,-6930.833698596435,78.99297830688265,0.5485661424606846,80856.44503189679
skip,7.5,0.7,3.0,410,0.18963922294172064,69069.79480433652,-18872.831109168965,-6543.174522744356,63.89435227043155,0.49861239592969475,64351.587027044276
half,7.5,0.7,3.0,410,0.18963922294172064,88355.68838900472,-17709.947284326758,-6930.833698596435,81.73514189547153,0.5485661424606846,83928.20156792302
skip,7.5,0.8,1.0,546,0.25254394079555964,59853.38416628428,-16232.541298763226,-6543.174522744356,55.36853299378749,0.47363552266419984,55795.24884159348
half,7.5,0.8,1.0,546,0.25254394079555964,83747.4830699786,-18311.97121522311,-6604.173298842746,77.47223225714949,0.545790934320074,79169.49026617281
skip,7.5,0.8,1.5,457,0.21137835337650324,75798.81541666461,-15439.772478199131,-6543.174522744356,70.1191631976546,0.4921369102682701,71938.87229711482
half,7.5,0.8,1.5,457,0.21137835337650324,91720.19869516877,-18144.243724574506,-6604.173298842746,84.84754735908305,0.545790934320074,87184.13776402514
skip,7.5,0.8,2.0,402,0.18593894542090658,77085.22194005974,-14140.930992281592,-6543.174522744356,71.30917848294148,0.5060129509713228,73549.98919198934
half,7.5,0.8,2.0,402,0.18593894542090658,92363.40195686634,-17130.086138164057,-6930.833698596435,85.44255500172648,0.5467160037002775,88080.88042232532
skip,7.5,0.8,2.5,361,0.1669750231267345,71543.74490346349,-15880.32498399715,-10183.214204984763,66.18292775528536,0.5078630897317299,67573.6636574642
half,7.5,0.8,2.5,361,0.1669750231267345,89592.6634385682,-18181.56566815415,-10183.214204984763,82.87942963789843,0.5485661424606846,85047.27202152966
skip,7.5,0.8,3.0,333,0.1540240518038853,77981.1764986724,-15797.297383879351,-10183.214204984763,72.1379986111678,0.513413506012951,74031.85215270256
half,7.5,0.8,3.0,333,0.1540240518038853,92811.37923617265,-18266.84373595379,-10183.214204984763,85.85696506583965,0.5485661424606846,88244.6683021842
skip,7.5,0.9,1.0,441,0.20397779833487512,61556.09524864698,-17771.07110447497,-6543.174522744356,56.94365887941441,0.49491211840888066,57113.32747252824
half,7.5,0.9,1.0,441,0.20397779833487512,84598.83861115995,-18948.020586883762,-6604.173298842746,78.25979519996294,0.547641073080481,79861.83346443901
skip,7.5,0.9,1.5,362,0.16743755781683625,77341.59327881769,-16316.707421918865,-6543.174522744356,71.54633975838824,0.5124884366327475,73262.41642333797
half,7.5,0.9,1.5,362,0.16743755781683625,92491.58762624531,-18804.412916182173,-6604.173298842746,85.56113563944986,0.545790934320074,87790.48439719976
skip,7.5,0.9,2.0,310,0.14338575393154487,81668.6810281502,-13969.40784037294,-7360.891577610625,75.54919614074946,0.5245143385753932,78176.32906805696
half,7.5,0.9,2.0,310,0.14338575393154487,94655.13150091155,-17810.107826468047,-7360.891577610625,87.56256383063048,0.5485661424606846,90202.60454429453
skip,7.5,0.9,2.5,260,0.12025901942645699,82304.330509308,-14988.488795073892,-10183.214204984763,76.13721601231082,0.5272895467160037,78557.20831053953
half,7.5,0.9,2.5,260,0.12025901942645699,94972.95624149046,-18411.38305746215,-10183.214204984763,87.85657376641116,0.5494912118408881,90370.11047712492
skip,7.5,0.9,3.0,218,0.10083256244218317,91679.1995062501,-15133.48120999457,-10183.214204984763,84.80962026480117,0.5337650323774283,87895.82920375145
half,7.5,0.9,3.0,218,0.10083256244218317,99660.3907399615,-18406.0598943857,-10183.214204984763,92.19277589265633,0.5494912118408881,95058.87576636508
skip,10.0,0.7,1.0,508,0.23496762257169287,46373.30686690322,-21256.30287665349,-6543.174522744356,42.89852624135358,0.4791859389454209,41059.23114773985
half,10.0,0.7,1.0,508,0.23496762257169287,77007.44442028807,-21152.656782255817,-6930.833698596435,71.23722888093252,0.545790934320074,71719.28022472412
skip,10.0,0.7,1.5,392,0.18131359851988899,58392.80934629929,-20714.157347693654,-7360.891577610625,54.01739995032311,0.49861239592969475,53214.270009375876
half,10.0,0.7,1.5,392,0.18131359851988899,83017.1956599861,-21145.955434151303,-7360.891577610625,76.79666573541729,0.5467160037002775,77730.70680144828
skip,10.0,0.7,2.0,339,0.15679925994449584,65334.648530474566,-20291.570589242983,-7360.891577610625,60.439082821900605,0.5069380203515264,60261.755883163816
half,10.0,0.7,2.0,339,0.15679925994449584,86488.11525207374,-20914.08295661936,-7360.891577610625,80.00750717120604,0.5467160037002775,81259.59451291889
skip,10.0,0.7,2.5,308,0.14246068455134134,66625.00671717156,-20955.987114047253,-7360.891577610625,61.63275366990893,0.509713228492137,61386.00993865975
half,10.0,0.7,2.5,308,0.14246068455134134,87133.29434542224,-21220.909307651655,-7360.891577610625,80.60434259521021,0.547641073080481,81828.06701850933
