signal_date,value,cum,dd,variant
2026-03-30,-152.05882352941126,-2835.8561840948632,-2611.2030049041105,rank1_only_oi_dates
2026-03-31,193.0198019801982,-2642.836382114665,-2418.183202923912,rank1_only_oi_dates
2026-04-01,-4250.72808854792,-6893.564470662585,-6668.911291471833,rank1_only_oi_dates
2026-03-02,-197.07879672322025,-197.07879672322025,0.0,rank2_half_all_oi_dates
2026-03-03,-564.8828566687421,-761.9616533919623,-564.8828566687421,rank2_half_all_oi_dates
2026-03-04,-1533.6221579586356,-2295.583811350598,-2098.5050146273775,rank2_half_all_oi_dates
2026-03-05,901.5609146791878,-1394.02289667141,-1196.94409994819,rank2_half_all_oi_dates
2026-03-06,-375.31672048814687,-1769.3396171595568,-1572.2608204363366,rank2_half_all_oi_dates
2026-03-07,-708.7349992271375,-2478.0746163866943,-2280.995819663474,rank2_half_all_oi_dates
2026-03-08,-98.61764136420368,-2576.692257750898,-2379.6134610276777,rank2_half_all_oi_dates
2026-03-09,-449.8556289196313,-3026.5478866705294,-2829.469089947309,rank2_half_all_oi_dates
2026-03-10,-68.26390070407362,-3094.8117873746028,-2897.7329906513824,rank2_half_all_oi_dates
2026-03-11,-1657.8356758064524,-4752.647463181055,-4555.568666457835,rank2_half_all_oi_dates
2026-03-12,954.0374925365838,-3798.609970644471,-3601.5311739212507,rank2_half_all_oi_dates
2026-03-13,472.7010980221963,-3325.908872622275,-3128.8300758990545,rank2_half_all_oi_dates
2026-03-14,192.14433571724268,-3133.7645369050324,-2936.685740181812,rank2_half_all_oi_dates
2026-03-15,-336.1470666115432,-3469.9116035165757,-3272.8328067933553,rank2_half_all_oi_dates
2026-03-16,-99.86474192403321,-3569.776345440609,-3372.6975487173886,rank2_half_all_oi_dates
2026-03-17,837.68683270076,-2732.089512739849,-2535.0107160166285,rank2_half_all_oi_dates
2026-03-18,209.58666640908814,-2522.502846330761,-2325.4240496075404,rank2_half_all_oi_dates
2026-03-19,-432.19888370915805,-2954.701730039919,-2757.6229333166984,rank2_half_all_oi_dates
2026-03-20,649.8972193781359,-2304.804510661783,-2107.7257139385624,rank2_half_all_oi_dates
2026-03-21,261.3961107452897,-2043.4083999164932,-1846.329603193273,rank2_half_all_oi_dates
2026-03-22,-668.9603655703878,-2712.368765486881,-2515.2899687636605,rank2_half_all_oi_dates
2026-03-23,588.0356390850791,-2124.3331264018016,-1927.2543296785814,rank2_half_all_oi_dates
2026-03-24,307.51414544074316,-1816.8189809610585,-1619.7401842378383,rank2_half_all_oi_dates
2026-03-25,569.1351153157487,-1247.6838656453097,-1050.6050689220895,rank2_half_all_oi_dates
2026-03-26,959.3887358109189,-288.29512983439076,-91.21633311117051,rank2_half_all_oi_dates
2026-03-27,200.39762599974856,-87.89750383464221,0.0,rank2_half_all_oi_dates
2026-03-28,592.7691916435199,504.8716878088777,0.0,rank2_half_all_oi_dates
2026-03-29,-459.710608954559,45.1610788543187,-459.710608954559,rank2_half_all_oi_dates
2026-03-30,218.74705390458723,263.90813275890594,-240.96355504997177,rank2_half_all_oi_dates
2026-03-31,153.61504007543687,417.5231728343428,-87.34851497453491,rank2_half_all_oi_dates
2026-04-01,-4021.1770068573724,-3603.6538340230295,-4108.525521831907,rank2_half_all_oi_dates
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_oi_up
2026-03-03,-420.1112195467407,-589.6156338024282,-420.1112195467407,rank2_skip_oi_up
2026-03-04,-1546.064723110151,-2135.680356912579,-1966.1759426568915,rank2_skip_oi_up
2026-03-05,1310.1642968860508,-825.5160600265283,-656.0116457708408,rank2_skip_oi_up
2026-03-06,-431.6063458483768,-1257.122405874905,-1087.6179916192177,rank2_skip_oi_up
2026-03-07,-494.46702188872723,-1751.5894277636323,-1582.085013507945,rank2_skip_oi_up
2026-03-08,-379.14288272840895,-2130.7323104920415,-1961.227896236354,rank2_skip_oi_up
2026-03-09,-613.1942274044799,-2743.9265378965215,-2574.422123640834,rank2_skip_oi_up
2026-03-10,103.76631623891075,-2640.1602216576107,-2470.655807401923,rank2_skip_oi_up
2026-03-11,-1655.2550258064523,-4295.415247464063,-4125.910833208376,rank2_skip_oi_up
2026-03-12,752.575757575758,-3542.8394898883053,-3373.3350756326176,rank2_skip_oi_up
2026-03-13,238.90243902439045,-3303.937050863915,-3134.4326366082273,rank2_skip_oi_up
2026-03-14,147.21402214021907,-3156.7230287236957,-2987.218614468008,rank2_skip_oi_up
2026-03-15,-341.2071767013481,-3497.930205425044,-3328.425791169356,rank2_skip_oi_up
2026-03-16,141.5935318360261,-3356.3366735890177,-3186.83225933333,rank2_skip_oi_up
2026-03-17,1207.1466868434275,-2149.1899867455904,-1979.6855724899028,rank2_skip_oi_up
2026-03-18,246.7692060916277,-1902.4207806539628,-1732.9163663982754,rank2_skip_oi_up
2026-03-19,-338.6734363065609,-2241.0942169605237,-2071.589802704836,rank2_skip_oi_up
2026-03-20,522.5539357960465,-1718.5402811644772,-1549.0358669087896,rank2_skip_oi_up
2026-03-21,346.2753922222877,-1372.2648889421894,-1202.7604746865018,rank2_skip_oi_up
2026-03-22,-876.2010472457803,-2248.4659361879694,-2078.961521932282,rank2_skip_oi_up
2026-03-23,993.0817220343879,-1255.3842141535815,-1085.879799897894,rank2_skip_oi_up
2026-03-24,154.50148992808744,-1100.882724225494,-931.3783099698065,rank2_skip_oi_up
2026-03-25,891.9827581287318,-208.89996609676223,-39.395551841074735,rank2_skip_oi_up
2026-03-26,751.2457202898547,542.3457541930925,0.0,rank2_skip_oi_up
2026-03-27,567.9987802046248,1110.3445343977173,0.0,rank2_skip_oi_up
2026-03-28,476.0630840125404,1586.4076184102578,0.0,rank2_skip_oi_up
2026-03-29,-825.8394464805468,760.568171929711,-825.8394464805468,rank2_skip_oi_up
2026-03-30,-152.05882352941126,608.5093484002997,-977.8982700099581,rank2_skip_oi_up
2026-03-31,193.0198019801982,801.5291503804979,-784.8784680297599,rank2_skip_oi_up
2026-04-01,-4250.72808854792,-3449.1989381674225,-5035.606556577681,rank2_skip_oi_up
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_oi_surge_5pct
2026-03-03,-420.1112195467407,-589.6156338024282,-420.1112195467407,rank2_skip_oi_surge_5pct
2026-03-04,-1521.1795928071203,-2110.7952266095485,-1941.290812353861,rank2_skip_oi_surge_5pct
2026-03-05,1310.1642968860508,-800.6309297234977,-631.1265154678102,rank2_skip_oi_surge_5pct
2026-03-06,-319.02709512791694,-1119.6580248514147,-950.1536105957272,rank2_skip_oi_surge_5pct
2026-03-07,-494.46702188872723,-1614.125046740142,-1444.6206324844543,rank2_skip_oi_surge_5pct
2026-03-08,-379.14288272840895,-1993.2679294685508,-1823.7635152128632,rank2_skip_oi_surge_5pct
2026-03-09,-613.1942274044799,-2606.462156873031,-2436.9577426173432,rank2_skip_oi_surge_5pct
2026-03-10,103.76631623891075,-2502.69584063412,-2333.1914263784324,rank2_skip_oi_surge_5pct
2026-03-11,-1660.4163258064523,-4163.112166440573,-3993.607752184885,rank2_skip_oi_surge_5pct
2026-03-12,752.575757575758,-3410.536408864815,-3241.031994609127,rank2_skip_oi_surge_5pct
2026-03-13,706.4997570200021,-2704.0366518448127,-2534.532237589125,rank2_skip_oi_surge_5pct
2026-03-14,147.21402214021907,-2556.8226297045935,-2387.318215448906,rank2_skip_oi_surge_5pct
2026-03-15,-341.2071767013481,-2898.0298064059416,-2728.525392150254,rank2_skip_oi_surge_5pct
2026-03-16,141.5935318360261,-2756.4362745699154,-2586.931860314228,rank2_skip_oi_surge_5pct
2026-03-17,1207.1466868434275,-1549.289587726488,-1379.7851734708006,rank2_skip_oi_surge_5pct
2026-03-18,246.7692060916277,-1302.5203816348603,-1133.0159673791727,rank2_skip_oi_surge_5pct
2026-03-19,-338.6734363065609,-1641.1938179414212,-1471.6894036857339,rank2_skip_oi_surge_5pct
2026-03-20,522.5539357960465,-1118.6398821453747,-949.1354678896872,rank2_skip_oi_surge_5pct
2026-03-21,346.2753922222877,-772.364489923087,-602.8600756673995,rank2_skip_oi_surge_5pct
2026-03-22,-876.2010472457803,-1648.5655371688672,-1479.0611229131796,rank2_skip_oi_surge_5pct
2026-03-23,993.0817220343879,-655.4838151344793,-485.9794008787918,rank2_skip_oi_surge_5pct
2026-03-24,154.50148992808744,-500.98232520639186,-331.47791095070437,rank2_skip_oi_surge_5pct
2026-03-25,891.9827581287318,391.00043292233994,0.0,rank2_skip_oi_surge_5pct
2026-03-26,1167.5317513319833,1558.5321842543233,0.0,rank2_skip_oi_surge_5pct
2026-03-27,567.9987802046248,2126.530964458948,0.0,rank2_skip_oi_surge_5pct
2026-03-28,709.4752992744994,2836.006263733447,0.0,rank2_skip_oi_surge_5pct
2026-03-29,-825.8394464805468,2010.1668172529003,-825.8394464805469,rank2_skip_oi_surge_5pct
2026-03-30,589.5529313385857,2599.7197485914858,-236.28651514196144,rank2_skip_oi_surge_5pct
2026-03-31,114.21027817067554,2713.930026762161,-122.07623697128611,rank2_skip_oi_surge_5pct
2026-04-01,-4250.72808854792,-1536.7980617857593,-4372.804325519206,rank2_skip_oi_surge_5pct
2026-03-02,-169.5044142556875,-169.5044142556875,0.0,rank2_skip_FRneg_OIup
2026-03-03,-709.6544937907433,-879.1589080464308,-709.6544937907433,rank2_skip_FRneg_OIup
2026-03-04,-1546.064723110151,-2425.2236311565816,-2255.719216900894,rank2_skip_FRneg_OIup
2026-03-05,1310.1642968860508,-1115.0593342705308,-945.5549200148433,rank2_skip_FRneg_OIup
2026-03-06,-431.6063458483768,-1546.6656801189076,-1377.1612658632203,rank2_skip_FRneg_OIup
2026-03-07,-494.46702188872723,-2041.1327020076349,-1871.6282877519475,rank2_skip_FRneg_OIup
2026-03-08,-379.14288272840895,-2420.275584736044,-2250.7711704803564,rank2_skip_FRneg_OIup
2026-03-09,-613.1942274044799,-3033.469812140524,-2863.9653978848364,rank2_skip_FRneg_OIup
2026-03-10,103.76631623891075,-2929.703495901613,-2760.1990816459256,rank2_skip_FRneg_OIup
2026-03-11,-1655.2550258064523,-4584.958521708066,-4415.454107452379,rank2_skip_FRneg_OIup
2026-03-12,752.575757575758,-3832.382764132308,-3662.87834987662,rank2_skip_FRneg_OIup
2026-03-13,238.90243902439045,-3593.4803251079175,-3423.97591085223,rank2_skip_FRneg_OIup
2026-03-14,147.21402214021907,-3446.2663029676983,-3276.7618887120107,rank2_skip_FRneg_OIup
2026-03-15,-341.2071767013481,-3787.4734796690464,-3617.9690654133587,rank2_skip_FRneg_OIup
2026-03-16,141.5935318360261,-3645.87994783302,-3476.3755335773326,rank2_skip_FRneg_OIup
2026-03-17,1207.1466868434275,-2438.733260989593,-2269.2288467339054,rank2_skip_FRneg_OIup
2026-03-18,246.7692060916277,-2191.964054897965,-2022.4596406422775,rank2_skip_FRneg_OIup
2026-03-19,-338.6734363065609,-2530.6374912045258,-2361.133076948838,rank2_skip_FRneg_OIup
2026-03-20,777.2405029602253,-1753.3969882443005,-1583.892573988613,rank2_skip_FRneg_OIup
2026-03-21,346.2753922222877,-1407.121596022013,-1237.6171817663253,rank2_skip_FRneg_OIup
2026-03-22,-876.2010472457803,-2283.322643267793,-2113.8182290121053,rank2_skip_FRneg_OIup
2026-03-23,993.0817220343879,-1290.240921233405,-1120.7365069777175,rank2_skip_FRneg_OIup
2026-03-24,460.52680095339883,-829.7141202800062,-660.2097060243187,rank2_skip_FRneg_OIup
2026-03-25,891.9827581287318,62.268637848725575,0.0,rank2_skip_FRneg_OIup
2026-03-26,1167.5317513319833,1229.8003891807089,0.0,rank2_skip_FRneg_OIup
2026-03-27,567.9987802046248,1797.7991693853337,0.0,rank2_skip_FRneg_OIup
