period,variant,mode,positions,active_days,adjusted_positions,adjusted_rank1,adjusted_rank2,total_bps,mean_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps,delta_total_vs_baseline,dd_improvement_vs_baseline
pre2026,half_cooldown_30d_loss2000,half,1878,939,34,22,12,53141.84909789804,56.59408849616405,0.5260915867944622,-21525.79349573955,-8670.648008634398,5496.6380354619705,,
pre2026,skip_cooldown_30d_loss3000,skip,1878,939,27,17,10,50486.77335348468,53.766531792848426,0.5218317358892439,-20598.1460874709,-7360.891577610625,5496.6380354619705,,
pre2026,half_cooldown_30d_loss3000,half,1878,939,27,17,10,54402.210764408286,57.93632669266058,0.5260915867944622,-21525.79349573955,-8670.648008634398,5496.6380354619705,,
pre2026,skip_extreme_idio20_close90_volz3,skip,1878,939,4,3,1,57929.28894512319,61.69253348788411,0.5282215122470714,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_extreme_idio20_close90_volz3,half,1878,939,4,3,1,58123.46856022755,61.899327540178426,0.5282215122470714,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_extreme_idio20_volz3,skip,1878,939,48,35,13,55966.21987143955,59.601938095249785,0.5228966986155484,-22738.48047414012,-10183.214204984763,5496.6380354619705,,
pre2026,half_extreme_idio20_volz3,half,1878,939,48,35,13,57141.93402338574,60.854029843861284,0.5260915867944622,-22494.87843158623,-10183.214204984763,5496.6380354619705,,
pre2026,skip_pump_score_ge3,skip,1878,939,58,39,19,49110.36458959282,52.300707763144636,0.5228966986155484,-22784.72505051083,-10183.214204984763,5496.6380354619705,,
pre2026,half_pump_score_ge3,half,1878,939,58,39,19,53714.006382462365,57.203414677808695,0.5271565495207667,-22619.082977259524,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap5_or_cooldown14_loss2000,skip,1878,939,22,14,8,50519.80941075566,53.80171396246608,0.5250266240681576,-20598.146087470897,-7360.891577610625,5496.6380354619705,,
pre2026,half_gap5_or_cooldown14_loss2000,half,1878,939,22,14,8,54418.72879304379,57.95391777746942,0.5271565495207667,-21525.79349573955,-8670.648008634398,5496.6380354619705,,
pre2026,skip_gap5_idio10_or_cooldown14_loss2000,skip,1878,939,22,14,8,50519.80941075566,53.80171396246608,0.5250266240681576,-20598.146087470897,-7360.891577610625,5496.6380354619705,,
pre2026,half_gap5_idio10_or_cooldown14_loss2000,half,1878,939,22,14,8,54418.72879304379,57.95391777746942,0.5271565495207667,-21525.79349573955,-8670.648008634398,5496.6380354619705,,
pre2026,skip_gap5_and_no_pullback90,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap5_and_no_pullback90,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
hist_2026,top2_baseline,baseline,284,142,0,0,0,49323.93379834099,347.3516464671901,0.6971830985915493,-6008.99320869903,-3791.6259251668243,3005.811962325711,,
hist_2026,rank1_only,rank1_only,284,142,142,0,0,21042.587221882175,148.1872339569167,0.6267605633802817,-10205.016360087404,-4250.72808854792,2351.1417974081705,,
hist_2026,rank2_half_all,rank2_half_all,284,142,142,0,0,35183.260510111584,247.7694402120534,0.676056338028169,-6240.7386088037365,-4021.1770068573724,2678.476879866941,,
